"id";"latitude";"longitude";"depth";"yearcollected";"tname"
367250771;50.77;-4.57;;2012;"Cystoseira tamariscifolia"
367285234;50.61;-2.13;;2007;"Cystoseira tamariscifolia"
367308102;50.31;-4.09;;2007;"Cystoseira tamariscifolia"
367391980;50.06;-5.56;;2007;"Cystoseira tamariscifolia"
367393703;50.00;-5.16;;2012;"Cystoseira tamariscifolia"
343108617;52.75;-9.52;"0";1995;"Cystoseira tamariscifolia"
343109143;52.79;-9.49;"0";1995;"Cystoseira tamariscifolia"
343109921;54.28;-9.05;"0";1995;"Cystoseira tamariscifolia"
343118070;54.36;-8.66;"1.15";1994;"Cystoseira tamariscifolia"
343186521;54.28;-9.05;"0";1995;"Cystoseira tamariscifolia"
343186837;54.31;-9.35;"0";1995;"Cystoseira tamariscifolia"
365525305;43.47;-3.91;;1988;"Cystoseira tamariscifolia"
365525325;43.47;-3.91;;1988;"Cystoseira tamariscifolia"
365525381;35.16;-2.42;;1994;"Cystoseira tamariscifolia"
365525415;43.47;-3.91;;1988;"Cystoseira tamariscifolia"
365525521;43.47;-3.91;;1988;"Cystoseira tamariscifolia"
365525543;43.47;-3.91;;1988;"Cystoseira tamariscifolia"
365525571;35.16;-2.42;;1994;"Cystoseira tamariscifolia"
365525590;43.47;-3.91;;1988;"Cystoseira tamariscifolia"
365525784;35.16;-2.42;;1994;"Cystoseira tamariscifolia"
365525796;35.16;-2.42;;1994;"Cystoseira tamariscifolia"
365525798;43.47;-3.91;;1988;"Cystoseira tamariscifolia"
365525872;35.16;-2.42;;1991;"Cystoseira tamariscifolia"
365525910;43.47;-3.91;;1988;"Cystoseira tamariscifolia"
365526396;36.91;-1.96;;1985;"Cystoseira tamariscifolia"
367249218;54.38;-5.59;;2009;"Cystoseira tamariscifolia"
367412065;49.72;-2.18;;2007;"Cystoseira tamariscifolia"
367473482;50.34;-4.44;;2011;"Cystoseira tamariscifolia"
367575766;50.09;-5.53;;2007;"Cystoseira tamariscifolia"
372357994;41.69;-8.85;;2003;"Cystoseira tamariscifolia"
372360096;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
372360236;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
372360342;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
372360431;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
372360560;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
372360652;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
372360780;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
372361426;41.79;-8.87;;2003;"Cystoseira tamariscifolia"
372361828;41.79;-8.87;;2003;"Cystoseira tamariscifolia"
372362024;41.79;-8.87;;2003;"Cystoseira tamariscifolia"
372363503;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
372363618;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
372363769;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
372363787;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
372429038;51.70;-5.18;;1960;"Cystoseira tamariscifolia"
372431775;51.71;-5.16;;1959;"Cystoseira tamariscifolia"
372437862;51.70;-5.18;;1960;"Cystoseira tamariscifolia"
372450732;51.71;-5.16;;1960;"Cystoseira tamariscifolia"
372453908;51.70;-5.18;;1978;"Cystoseira tamariscifolia"
372462345;51.69;-5.18;;1959;"Cystoseira tamariscifolia"
372464055;51.70;-5.16;;1959;"Cystoseira tamariscifolia"
372464191;51.70;-5.18;;1978;"Cystoseira tamariscifolia"
372464751;51.70;-5.14;;1960;"Cystoseira tamariscifolia"
372469699;51.71;-5.19;;1959;"Cystoseira tamariscifolia"
373734292;54.38;-5.59;;1986;"Cystoseira tamariscifolia"
373734862;55.19;-6.69;;2008;"Cystoseira tamariscifolia"
373765797;55.19;-6.69;;2006;"Cystoseira tamariscifolia"
373819649;55.19;-6.69;;2006;"Cystoseira tamariscifolia"
373833387;55.19;-6.69;;2008;"Cystoseira tamariscifolia"
373943585;43.31;-2.32;;1988;"Cystoseira tamariscifolia"
373943587;37.81;-8.83;;1995;"Cystoseira tamariscifolia"
373943841;43.31;-2.20;;;"Cystoseira tamariscifolia"
373943945;42.23;-8.82;;1992;"Cystoseira tamariscifolia"
373944199;38.44;-9.06;;1995;"Cystoseira tamariscifolia"
373944230;36.54;-4.62;;1988;"Cystoseira tamariscifolia"
373944273;39.43;-9.17;;1995;"Cystoseira tamariscifolia"
373944282;43.31;-2.20;;1988;"Cystoseira tamariscifolia"
373944284;36.54;-4.62;;1988;"Cystoseira tamariscifolia"
373944294;37.81;-8.83;;1995;"Cystoseira tamariscifolia"
373944297;36.72;-4.29;;1988;"Cystoseira tamariscifolia"
373944325;36.54;-4.62;;1983;"Cystoseira tamariscifolia"
373944352;36.43;-6.16;;1995;"Cystoseira tamariscifolia"
373944357;36.72;-4.29;;1988;"Cystoseira tamariscifolia"
373944376;43.39;-1.83;;1988;"Cystoseira tamariscifolia"
373944378;43.13;-9.18;;1962;"Cystoseira tamariscifolia"
373944381;36.72;-4.29;;1988;"Cystoseira tamariscifolia"
