"id";"latitude";"longitude";"depth";"yearcollected";"tname"
343095307;53.43;-10.17;0.00;1995;"Saccorhiza polyschides"
343095683;54.17;-9.98;4.45;1994;"Saccorhiza polyschides"
343095880;54.25;-9.88;11.40;1994;"Saccorhiza polyschides"
343096954;53.46;-10.07;0.00;1995;"Saccorhiza polyschides"
343097116;54.24;-10.09;0.00;1994;"Saccorhiza polyschides"
343098857;53.15;-9.14;0.00;1995;"Saccorhiza polyschides"
343098967;53.13;-9.29;0.00;1995;"Saccorhiza polyschides"
343099606;53.60;-10.25;6.90;1995;"Saccorhiza polyschides"
343100154;52.14;-6.57;10.00;1994;"Saccorhiza polyschides"
343102539;52.49;-9.71;0.00;1995;"Saccorhiza polyschides"
343102621;52.13;-6.59;10.90;1994;"Saccorhiza polyschides"
343102814;52.12;-6.60;8.95;1994;"Saccorhiza polyschides"
343103814;54.38;-8.60;0.00;1994;"Saccorhiza polyschides"
343103993;51.46;-9.41;11.00;1982;"Saccorhiza polyschides"
343104597;51.85;-7.97;6.90;1993;"Saccorhiza polyschides"
343104974;55.21;-7.80;9.50;1993;"Saccorhiza polyschides"
343105150;52.12;-6.58;21.50;1994;"Saccorhiza polyschides"
343105183;52.10;-6.61;5.00;1994;"Saccorhiza polyschides"
343105707;52.13;-6.54;13.60;1994;"Saccorhiza polyschides"
343106542;54.38;-8.60;0.00;1994;"Saccorhiza polyschides"
343106806;51.47;-9.42;10.00;1982;"Saccorhiza polyschides"
343106936;51.46;-9.43;10.50;1982;"Saccorhiza polyschides"
343108873;52.75;-9.52;0.00;1995;"Saccorhiza polyschides"
343109387;52.85;-9.45;0.00;1995;"Saccorhiza polyschides"
343109464;52.85;-9.45;0.00;1995;"Saccorhiza polyschides"
343109846;52.94;-9.43;0.00;1995;"Saccorhiza polyschides"
343110220;53.12;-9.76;7.00;1993;"Saccorhiza polyschides"
343111251;51.63;-9.90;6.60;1993;"Saccorhiza polyschides"
343114247;54.27;-8.73;0.00;1995;"Saccorhiza polyschides"
343114941;53.26;-6.10;0.00;1994;"Saccorhiza polyschides"
343116435;55.16;-7.72;0.00;1993;"Saccorhiza polyschides"
343116628;53.13;-9.82;4.50;1993;"Saccorhiza polyschides"
343117096;51.88;-10.38;0.00;1995;"Saccorhiza polyschides"
343117361;51.85;-7.97;6.85;1993;"Saccorhiza polyschides"
343118350;51.50;-9.46;4.00;1982;"Saccorhiza polyschides"
343118358;51.45;-9.45;12.00;1982;"Saccorhiza polyschides"
343118881;51.87;-7.87;2.20;1993;"Saccorhiza polyschides"
343119555;51.73;-9.53;10.45;1993;"Saccorhiza polyschides"
343119789;51.55;-9.82;4.95;1993;"Saccorhiza polyschides"
343120024;51.50;-9.43;2.60;1994;"Saccorhiza polyschides"
343120190;51.45;-9.41;7.00;1982;"Saccorhiza polyschides"
343120282;51.47;-9.51;10.50;1982;"Saccorhiza polyschides"
343120562;51.49;-9.29;4.00;1994;"Saccorhiza polyschides"
343120628;51.49;-9.29;0.00;1994;"Saccorhiza polyschides"
343121839;51.94;-7.70;7.50;1993;"Saccorhiza polyschides"
343122771;52.49;-9.71;0.00;1995;"Saccorhiza polyschides"
343123069;52.62;-9.51;0.55;1995;"Saccorhiza polyschides"
343123390;51.94;-10.34;0.05;1995;"Saccorhiza polyschides"
343123499;51.93;-10.31;7.60;1995;"Saccorhiza polyschides"
343125237;55.15;-8.21;0.00;1995;"Saccorhiza polyschides"
343125401;55.31;-7.37;0.00;1995;"Saccorhiza polyschides"
343127194;55.38;-7.31;4.40;1995;"Saccorhiza polyschides"
365214615;41.19;-8.71;;2008;"Saccorhiza polyschides"
365214650;41.74;-8.87;;2007;"Saccorhiza polyschides"
365214680;41.68;-8.83;;2006;"Saccorhiza polyschides"
365214685;41.19;-8.71;;2006;"Saccorhiza polyschides"
365214700;41.19;-8.71;;2006;"Saccorhiza polyschides"
365214756;41.19;-8.71;;2006;"Saccorhiza polyschides"
365214775;41.19;-8.71;;2006;"Saccorhiza polyschides"
365214813;41.19;-8.71;;2007;"Saccorhiza polyschides"
